v1;v2;correlacao;correlacao_absoluta
condado_tx_habitantes_menor_18_anos;avg_monthly_gb_download;0.021104648199959483;0.021104648199959483
condado_qtd_habitantes;total_refunds;0.020836202899280194;0.020836202899280194
condado_idade_mediana_habitantes;number_of_referrals;0.02078236508824777;0.02078236508824777
qtd_servicos_principais;condado_tx_habitantes_menor_18_anos;0.020655456569572832;0.020655456569572832
condado_indice_gini_desigualdade_renda;number_of_referrals;-0.019704667803092654;0.019704667803092654
tx_valores_reembolsados;condado_indice_gini_desigualdade_renda;0.01901709423816669;0.01901709423816669
total_refunds;avg_monthly_long_distance_charges;-0.018643863320122488;0.018643863320122488
condado_idade_mediana_habitantes;avg_monthly_gb_download;-0.0184552079672653;0.0184552079672653
condado_tx_habitantes_menor_18_anos;monthly_charge;0.018114550244188826;0.018114550244188826
tx_valores_reembolsados;condado_area_terra_m2;-0.018023101834033578;0.018023101834033578
tx_valores_reembolsados;condado_renda_familiar_mediana;0.017934711856707912;0.017934711856707912
condado_densidade_populacional;number_of_referrals;-0.017752859992713674;0.017752859992713674
condado_densidade_populacional;total_extra_data_charges;0.017637502876377064;0.017637502876377064
qtd_servicos_principais;condado_area_terra_m2;0.017168988560006374;0.017168988560006374
condado_indice_gini_desigualdade_renda;monthly_charge;-0.01710954847439331;0.01710954847439331
condado_idade_mediana_habitantes;monthly_charge;-0.017103263196093094;0.017103263196093094
tx_concentracao_cobranca_mes_q3;age;-0.01691350948024508;0.01691350948024508
tx_contrib_cobrancas_extras_cobranca_geral;condado_qtd_habitantes;-0.016780144044536583;0.016780144044536583
total_extra_data_charges;total_refunds;0.016755347443945672;0.016755347443945672
tx_concentracao_cobranca_mes_q3;condado_renda_familiar_mediana;-0.016666955788992827;0.016666955788992827
tx_valores_reembolsados;number_of_dependents;0.016623660096512307;0.016623660096512307
condado_indice_gini_desigualdade_renda;total_charges;-0.01646292815536939;0.01646292815536939
condado_idade_mediana_habitantes;number_of_dependents;0.01638732424247938;0.01638732424247938
condado_indice_gini_desigualdade_renda;cltv;-0.016316754960724666;0.016316754960724666
condado_tx_habitantes_homens;age;-0.01555015859434484;0.01555015859434484
qtd_streamings;total_refunds;0.015007952346259486;0.015007952346259486
valor_cobranca_geral;condado_indice_gini_desigualdade_renda;-0.014902133784815454;0.014902133784815454
avg_monthly_long_distance_charges;tenure_in_months;0.014596019226958072;0.014596019226958072
total_extra_data_charges;number_of_dependents;-0.014436102192268416;0.014436102192268416
condado_tx_habitantes_homens;avg_monthly_gb_download;0.014356223780908672;0.014356223780908672
valor_cobrancas_extras;condado_densidade_populacional;0.014298018675404764;0.014298018675404764
total_refunds;number_of_dependents;0.014023410949907021;0.014023410949907021
qtd_servicos_adicionais;condado_indice_gini_desigualdade_renda;-0.013980637782802601;0.013980637782802601
valor_cobrancas_extras;avg_monthly_gb_download;0.013979462343510747;0.013979462343510747
condado_densidade_populacional;total_long_distance_charges;0.01380624604534607;0.01380624604534607
condado_renda_familiar_mediana;number_of_referrals;-0.013617484711280502;0.013617484711280502
qtd_servicos_adicionais;condado_densidade_populacional;-0.013526269103650167;0.013526269103650167
qtd_servicos_principais;condado_tx_habitantes_homens;0.013142628842983213;0.013142628842983213
tx_concentracao_cobranca_mes_q3;condado_tx_habitantes_homens;-0.012667084100781439;0.012667084100781439
condado_renda_familiar_mediana;total_extra_data_charges;0.012664255188607993;0.012664255188607993
qtd_streamings;condado_indice_gini_desigualdade_renda;-0.012517270228894602;0.012517270228894602
condado_indice_gini_desigualdade_renda;condado_idade_mediana_habitantes;-0.012059507733099058;0.012059507733099058
condado_tx_habitantes_homens;number_of_dependents;-0.012021536892970856;0.012021536892970856
condado_renda_familiar_mediana;total_refunds;0.011794096807482148;0.011794096807482148
condado_renda_familiar_mediana;cltv;-0.01177946837139949;0.01177946837139949
avg_monthly_long_distance_charges;age;-0.011748735116449804;0.011748735116449804
tx_concentracao_cobranca_mes_q3;avg_monthly_long_distance_charges;-0.011458957952078368;0.011458957952078368
qtd_streamings;condado_tx_habitantes_menor_18_anos;0.011377207391433327;0.011377207391433327
total_long_distance_charges;avg_monthly_gb_download;0.011372784344080952;0.011372784344080952
qtd_servicos_principais;tx_valores_reembolsados;-0.011198337279430303;0.011198337279430303
condado_densidade_populacional;number_of_dependents;0.011036967417159909;0.011036967417159909
condado_tx_habitantes_menor_18_anos;age;0.010882137698291591;0.010882137698291591
qtd_servicos_adicionais;condado_idade_mediana_habitantes;0.010809255669873064;0.010809255669873064
condado_area_terra_m2;monthly_charge;0.010735223625974363;0.010735223625974363
tx_contrib_cobrancas_extras_cobranca_geral;condado_tx_habitantes_homens;-0.010708032224119816;0.010708032224119816
condado_area_terra_m2;number_of_referrals;0.01043692158545944;0.01043692158545944
condado_tx_habitantes_menor_18_anos;number_of_dependents;-0.010428714632260734;0.010428714632260734
tx_valores_reembolsados;avg_monthly_gb_download;-0.010408628132539852;0.010408628132539852
tx_valores_reembolsados;age;0.010229820089439777;0.010229820089439777
qtd_streamings;condado_renda_familiar_mediana;0.01011806324647745;0.01011806324647745
condado_tx_habitantes_homens;avg_monthly_long_distance_charges;-0.010086363451852933;0.010086363451852933
tenure_in_months;age;0.009927001802726706;0.009927001802726706
condado_tx_habitantes_homens;total_charges;0.009738937949013026;0.009738937949013026
condado_area_terra_m2;number_of_dependents;-0.009477977548800757;0.009477977548800757
condado_area_terra_m2;avg_monthly_long_distance_charges;0.009328743771734902;0.009328743771734902
condado_tx_habitantes_homens;number_of_referrals;-0.009095097978712982;0.009095097978712982
condado_area_terra_m2;age;-0.008936032329190016;0.008936032329190016
